1,30,8,1,1
1,12,10,1,1
1,15,9,0,0
1,2,27,0,1
1,7,13,0,1
1,11,29,0,1
1,14,32,0,0
1,16,35,0,1
1,19,24,0,0
1,20,17,0,1
2,8,21,1,0
1,18,26,1,1
1,1,28,1,1
1,31,30,0,0
1,33,12,0,0
2,15,34,1,1
1,4,35,0,1
2,19,9,1,1
2,7,17,1,1
2,2,13,0,1
1,5,20,0,1
2,34,11,1,0
2,31,15,1,0
2,16,12,0,1
2,21,26,0,1
2,27,28,0,1
2,14,29,1,1
2,32,1,0,0
2,10,33,1,1
2,4,26,0,0
3,16,8,1,1
3,34,9,1,0
3,27,10,1,1
3,14,11,1,0
3,30,12,1,1
3,13,5,0,0
3,7,18,1,1
3,19,21,0,0
3,28,20,1,0
2,24,2,0,1
3,35,17,0,1
3,1,15,1,1
3,32,31,0,0
3,33,29,0,0
4,8,11,0,0
4,14,10,0,1
4,34,9,0,0
4,7,1,1,0
4,28,5,1,0
5,9,32,0,1
4,16,12,1,1
4,35,17,1,1
4,13,19,1,0
4,29,20,1,1
5,15,21,1,0
3,24,27,0,0
5,8,26,1,1
4,33,30,1,1
5,29,2,1,1
5,28,7,1,1
5,14,13,1,0
6,15,16,1,1
3,18,4,0,0
5,20,27,1,1
4,31,11,0,0
5,30,32,1,1
5,34,33,0,1
5,26,35,1,1
5,10,9,1,1
5,19,12,1,0
5,17,8,0,1
4,4,2,1,1
6,16,11,0,0
5,1,21,1,0
6,14,24,1,1
7,15,26,1,1
6,13,27,1,1
6,17,31,1,1
6,32,33,0,0
6,31,1,1,0
5,4,11,0,1
4,5,14,0,1
6,7,35,0,0
7,12,15,0,1
5,24,13,1,1
4,18,21,0,0
7,8,20,1,0
6,30,28,1,0
6,29,33,0,0
6,34,10,0,0
7,17,18,0,0
7,26,27,1,1
7,30,9,0,0
7,32,16,0,0
8,8,35,1,0
7,7,11,0,0
7,20,12,0,1
7,1,12,0,0
6,4,34,0,1
7,28,8,1,0
8,14,33,0,0
8,17,19,1,1
8,32,27,1,0
5,5,30,1,1
7,31,24,0,0
9,33,9,1,1
7,19,10,1,1
9,11,5,0,0
8,13,1,0,0
9,15,14,0,0
6,18,17,0,1
8,20,32,0,1
8,28,21,1,0
8,26,34,0,0
8,16,29,1,0
