1,1,64,33,1
1,1,74,54,1
1,1,66,75,0
1,1,36,82,0
1,1,73,117,1
1,1,109,71,1
1,1,111,85,0
1,1,92,99,0
1,1,80,88,1
1,1,90,78,1
1,1,107,104,0
1,1,440,97,1
1,1,67,39,1
1,1,6,43,1
1,1,58,246,1
1,1,96,52,1
1,1,15,50,0
1,1,138,61,1
1,1,31,70,0
1,1,76,173,1
1,1,44,1,1
1,1,53,9,0
1,1,81,11,1
1,1,7,168,0
1,1,22,129,0
1,1,102,49,0
1,1,38,48,0
1,1,47,24,1
1,1,51,60,1
1,1,42,12,0
1,1,114,14,0
1,2,88,71,0
1,2,21,108,0
1,2,39,43,0
1,2,155,114,1
1,2,10,246,0
1,2,1,30,1
1,2,24,52,0
1,2,56,53,0
1,2,15,38,0
1,2,60,42,1
1,1,86,32,0
1,1,59,272,0
1,1,171,119,1
1,1,26,243,1
1,2,57,173,1
1,2,117,29,1
1,2,66,33,1
1,2,78,97,1
1,2,11,111,0
1,2,280,102,1
1,2,107,7,1
1,2,92,22,1
1,2,164,18,1
1,2,36,65,0
1,2,243,59,0
1,2,119,86,1
1,2,54,61,1
1,6,114,56,0
1,6,30,24,1
1,6,42,10,0
1,6,39,15,1
1,6,243,36,1
1,6,61,86,0
1,6,29,173,1
1,6,11,88,0
1,6,18,22,0
1,6,102,7,1
1,6,21,97,0
1,7,114,24,0
1,7,15,42,1
1,7,36,61,1
1,7,173,33,0
1,7,11,21,0
1,7,18,7,1
1,8,42,114,1
1,8,61,173,0
1,8,11,7,1
1,1,64,37,0
1,1,19,99,0
1,1,91,52,1
1,1,16,48,1
1,1,29,66,0
1,1,39,32,1
1,1,24,22,0
1,1,114,17,1
1,1,79,10,1
1,1,21,31,1
1,1,119,45,0
1,1,26,20,1
1,2,10,112,0
1,1,31,95,0
1,2,24,17,1
1,2,25,13,1
1,2,119,7,1
1,2,172,23,0
1,2,49,58,1
1,6,20,7,1
1,6,31,15,1
1,6,172,32,1
1,6,17,10,0
1,7,32,7,1
5,1,52,31,0
5,1,33,61,0
5,1,34,20,0
5,1,10,47,0
5,1,69,59,1
5,1,78,103,0
5,1,72,21,0
5,1,35,1,1
5,1,48,44,1
5,1,70,40,1
5,1,92,63,1
5,1,36,98,0
5,1,55,89,0
5,1,6,57,1
5,1,19,94,0
5,1,101,15,1
5,1,17,110,0
5,1,96,30,0
5,1,75,205,1
5,1,37,13,0
5,1,84,86,1
5,1,53,29,0
5,1,88,90,1
5,1,46,58,0
5,1,73,56,0
5,1,38,26,0
5,1,128,8,1
5,1,43,54,0
5,1,106,51,1
5,1,27,104,0
5,1,156,91,0
5,1,23,87,1
5,1,49,14,1
5,1,125,77,0
5,1,80,50,1
5,1,65,146,0
5,1,67,24,0
5,1,68,25,1
5,1,100,16,0
5,1,22,93,0
5,1,64,45,1
5,1,82,3,1
5,1,112,12,1
5,2,78,99,0
5,2,74,17,1
5,2,72,66,1
5,2,57,59,1
5,2,19,36,0
5,2,39,55,0
5,2,96,63,0
5,2,40,28,1
5,2,10,62,0
5,2,34,44,1
5,2,1,205,0
5,2,37,86,1
5,2,395,33,1
5,2,248,22,0
5,2,12,45,0
5,2,114,27,1
5,2,100,73,1
5,2,43,11,1
5,2,2,156,0
5,2,50,25,1
5,2,65,9,1
5,2,53,90,1
5,2,41,87,0
5,2,148,38,0
5,2,3,46,0
5,2,14,125,0
5,3,66,86,1
5,3,19,15,1
5,3,33,59,0
5,3,17,78,0
5,3,96,4,1
5,3,44,10,1
5,3,1,28,0
5,3,27,51,1
5,3,148,2,1
5,3,67,14,0
5,3,25,8,1
5,3,9,73,0
5,3,12,248,1
5,3,90,3,1
5,3,11,41,0
5,4,4,15,0
5,4,10,33,0
5,4,39,86,1
5,4,17,1,1
5,4,248,8,1
5,4,3,67,0
5,4,9,51,1
5,4,2,11,0
5,6,86,1,0
5,6,3,51,0
5,6,8,2,1
5,7,86,4,0
5,7,2,3,0
5,8,86,2,1
1,1,34,104,0
1,1,79,103,0
1,1,113,60,0
1,1,31,68,0
1,1,139,75,0
1,1,58,90,1
1,1,66,46,0
1,1,101,23,1
1,1,91,76,0
1,1,158,86,0
1,1,123,17,1
1,1,44,83,0
1,1,106,212,0
1,1,40,50,1
1,1,92,137,1
1,1,94,36,1
1,1,187,45,1
1,1,107,70,0
1,1,89,19,1
1,1,59,135,1
1,1,97,33,0
1,1,35,62,1
1,1,42,80,0
1,1,67,41,1
1,1,18,74,0
1,1,144,55,1
1,1,192,25,1
1,1,69,5,1
1,1,72,64,0
1,1,56,77,1
1,2,23,139,1
1,2,88,44,1
1,2,34,113,0
1,2,50,126,0
1,1,51,48,0
1,2,51,43,0
1,2,62,63,1
1,2,135,97,1
1,2,79,31,1
1,1,109,3,1
1,2,91,21,1
1,2,27,72,1
1,2,73,25,0
1,2,17,137,0
1,2,107,41,0
1,2,18,61,0
1,2,106,14,1
1,6,34,50,1
1,6,17,44,0
1,6,31,45,1
1,2,77,37,0
1,2,90,5,1
1,2,3,158,0
1,6,51,466,1
1,6,97,55,0
1,6,63,18,0
1,6,19,107,1
1,6,72,21,1
1,7,139,3,1
1,6,14,36,1
1,7,50,17,1
1,6,73,139,1
1,6,77,3,1
1,6,5,66,0
1,7,97,63,0
1,7,107,466,0
1,7,5,21,1
1,8,3,21,0
1,7,45,36,1
1,8,97,107,0
1,8,36,17,0
1,1,105,102,0
2,1,49,48,1
2,1,94,6,1
1,1,119,14,1
2,1,68,71,1
2,1,26,69,1
2,1,28,80,1
1,1,79,54,1
1,1,70,17,0
2,1,78,89,0
2,1,87,107,0
2,1,273,46,1
2,1,10,51,1
2,1,90,62,1
2,1,56,52,1
2,1,18,37,1
2,1,11,20,0
1,1,45,144,0
1,1,66,4,1
1,1,122,30,1
1,1,138,135,1
1,1,86,21,1
1,1,44,101,0
1,1,111,35,0
1,2,45,14,1
1,2,21,105,1
2,1,124,57,1
2,1,63,23,0
2,1,39,85,0
2,1,19,104,0
2,1,42,22,1
2,1,3,98,0
2,1,1,29,0
2,2,48,6,1
2,1,276,82,0
2,1,25,13,1
1,2,4,135,0
1,2,44,70,1
1,2,30,91,0
1,2,131,111,1
2,1,2,60,0
2,2,69,65,1
2,2,80,88,0
2,2,276,13,1
2,2,27,37,1
2,2,22,51,0
2,2,1,52,0
2,2,62,15,0
2,2,3,95,0
2,2,71,39,0
2,2,78,57,1
2,2,168,19,1
2,2,87,46,0
1,2,7,54,0
1,6,105,14,0
2,6,22,37,0
2,6,13,6,0
2,6,11,1,0
2,6,3,62,0
2,6,71,65,0
2,6,57,63,0
2,6,19,87,0
2,7,13,11,0
2,7,22,3,1
1,6,111,70,0
1,6,7,30,0
1,7,105,4,1
1,7,111,7,1
2,6,2,80,1
2,7,19,71,1
2,7,57,80,0
2,8,71,57,0
2,8,13,3,0
1,8,4,7,0
1,1,66,52,1
1,1,78,37,1
1,1,80,100,0
1,1,32,43,1
1,1,117,26,0
1,1,41,45,0
1,1,7,103,1
1,1,133,123,0
1,1,21,86,0
